|       | 007 Legends                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | Singstar Made in Germany                                                                | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Mallorca Party                                                                 | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Mecano                                                                         | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Motown                                                                         | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Pop Edition                                                                    | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Queen                                                                          | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Studio 100                                                                     | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | SingStar Take That                                                                      | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Vasco                                                                          | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar Vol. 2                                                                         | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | SingStar Vol. 3                                                                         | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | SingStar: Back to the 80s                                                               | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | SingStar: Morangos com Acucar                                                           | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | SingStar: Polskie Hity                                                                  | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SingStar: Ultimate Party                                                                | SCEE                                   | PlayStation 3 | 2014 | Europe
|       | Singularity                                                                             | Activision                             | PlayStation 3 | 2010 | Europe
|       | SIREN: Blood Curse                                                                      | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Skate                                                                                   | EA Games                               | PlayStation 3 | 2007 | Europe
|       | Skate 2                                                                                 | EA Games                               | PlayStation 3 | 2009 | Europe
|       | Skate 3                                                                                 | EA Games                               | PlayStation 3 | 2010 | Europe
|       | Ski Doo: Snowmobile Challenge                                                           | PQube                                  | PlayStation 3 | 2012 | Europe
|       | Skylanders Giants                                                                       | Activision                             | PlayStation 3 | 2012 | Europe
|       | Skylanders Imaginators                                                                  | Activision                             | PlayStation 3 | 2016 | Europe
|       | Skylanders SuperChargers                                                                | Activision                             | PlayStation 3 | 2015 | Europe
|       | Skylanders Swap Force                                                                   | Activision                             | PlayStation 3 | 2013 | Europe
|       | Skylanders Trap Team                                                                    | Activision                             | PlayStation 3 | 2014 | Europe
|       | Skylanders: Spyro's Adventure                                                           | Activision                             | PlayStation 3 | 2011 | Europe
|       | Sleeping Dogs                                                                           | Square Enix                            | PlayStation 3 | 2012 | Europe
|       | Sly Cooper: Thieves in Time                                                             | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Sly Trilogy, The                                                                        | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Smurfs 2, The                                                                           | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Sniper Elite III                                                                        | 505 Games                              | PlayStation 3 | 2014 | Europe
|       | Sniper Elite V2                                                                         | 505 Games                              | PlayStation 3 | 2012 | Europe
|       | Sniper: Ghost Warrior                                                                   | City Interactive                       | PlayStation 3 | 2011 | Europe
|       | Sniper: Ghost Warrior 2                                                                 | City Interactive                       | PlayStation 3 | 2013 | Europe
|       | SOCOM: Confrontation                                                                    | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | SOCOM: Special Forces                                                                   | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Soldier of Fortune: Payback                                                             | Activision Value                       | PlayStation 3 | 2008 | Europe
|       | Sonic & All-Stars Racing Transformed                                                    | Sega                                   | PlayStation 3 | 2012 | Europe
|       | Sonic & Sega All-Stars Racing                                                           | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Sonic Generations                                                                       | Sega                                   | PlayStation 3 | 2011 | Europe
|       | Sonic the Hedgehog                                                                      | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Sonic Unleashed                                                                         | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Sorcery                                                                                 | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | SoulCalibur IV                                                                          | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | SoulCalibur V                                                                           | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | South Park: The Stick of Truth                                                          | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Space Hulk                                                                              | Funbox Media                           | PlayStation 3 | 2015 | Europe
|       | Spec Ops: The Line                                                                      | 2K Games                               | PlayStation 3 | 2012 | Europe
|       | Spider-Man 3                                                                            | Activision                             | PlayStation 3 | 2007 | Europe
|       | Spider-Man: Edge of Time                                                                | Activision                             | PlayStation 3 | 2011 | Europe
|       | Spider-Man: Shattered Dimensions                                                        | Activision                             | PlayStation 3 | 2010 | Europe
|       | Spider-Man: Web of Shadows                                                              | Activision                             | PlayStation 3 | 2008 | Europe
|       | Splatterhouse                                                                           | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Split/Second: Velocity                                                                  | Disney Interactive Studios             | PlayStation 3 | 2010 | Europe
|       | SpongeBob SquarePants: Plankton's Robotic Revenge                                       | Activision                             | PlayStation 3 | 2013 | Europe
|       | Sports Champions                                                                        | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Sports Champions 2                                                                      | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | SSX                                                                                     | EA Sports                              | PlayStation 3 | 2012 | Europe
|       | Star Ocean: The Last Hope International                                                 | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Star Trek                                                                               | Namco Bandai Games                     | PlayStation 3 | 2013 | Europe
|       | Star Wars The Clone Wars: Republic Heroes                                               | LucasArts                              | PlayStation 3 | 2009 | Europe
|       | Star Wars: The Force Unleashed                                                          | LucasArts                              | PlayStation 3 | 2008 | Europe
|       | Star Wars: The Force Unleashed - Ultimate Sith Edition                                  | LucasArts                              | PlayStation 3 | 2009 | Europe
|       | Star Wars: The Force Unleashed II                                                       | LucasArts                              | PlayStation 3 | 2010 | Europe
|       | Starhawk                                                                                | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Start the Party!                                                                        | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Start the Party! Save the World                                                         | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Steins;Gate                                                                             | PQube                                  | PlayStation 3 | 2015 | Europe
|       | Stormrise                                                                               | Sega                                   | PlayStation 3 | 2009 | Europe
|       | Stranglehold                                                                            | Midway                                 | PlayStation 3 | 2007 | Europe
|       | Street Fighter IV                                                                       | Capcom                                 | PlayStation 3 | 2009 | Europe
|       | Street Fighter X Tekken                                                                 | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Stuntman Ignition                                                                       | THQ                                    | PlayStation 3 | 2007 | Europe
|       | Summer Challenge: Athletics Tournament                                                  | RTL                                    | PlayStation 3 | 2011 | Europe
|       | Summer Stars 2012                                                                       | Deep Silver                            | PlayStation 3 | 2012 | Europe
|       | Super Street Fighter IV                                                                 | Capcom                                 | PlayStation 3 | 2010 | Europe
|       | Super Street Fighter IV: Arcade Edition                                                 | Capcom                                 | PlayStation 3 | 2011 | Europe
|       | SuperCar Challenge                                                                      | System 3                               | PlayStation 3 | 2009 | Europe
|       | Superstars V8 Next Challenge                                                            | Black Bean Games                       | PlayStation 3 | 2010 | Europe
|       | Superstars V8 Racing                                                                    | Black Bean Games                       | PlayStation 3 | 2009 | Europe
|       | Supremacy MMA                                                                           | 505 Games                              | PlayStation 3 | 2011 | Europe
|       | Surf's Up                                                                               | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Syberia: Complete Collection                                                            | Nordic Games Publishing                | PlayStation 3 | 2015 | Europe
|       | Syndicate                                                                               | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Tales of Graces f                                                                       | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Tales of Graces F + Tales of Symphonia Chronicles                                       | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Tales of Symphonia Chronicles                                                           | Namco Bandai Games                     | PlayStation 3 | 2014 | Europe
|       | Tales of Xillia                                                                         | Namco Bandai Games                     | PlayStation 3 | 2013 | Europe
|       | Tales of Xillia + Tales of Xillia 2                                                     | Bandai Namco Games                     | PlayStation 3 | 2016 | Europe
|       | Tales of Xillia 2                                                                       | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | Tales of Zestiria                                                                       | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Tears to Tiara II: Heir of the Overlord                                                 | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Teenage Mutant Ninja Turtles: Danger of the Ooze                                        | Activision                             | PlayStation 3 | 2014 | Europe
|       | Teenage Mutant Ninja Turtles: Mutants in Manhattan                                      | Activision                             | PlayStation 3 | 2016 | Europe
|       | Tekken 6                                                                                | Namco Bandai Games                     | PlayStation 3 | 2009 | Europe
|       | Tekken Hybrid                                                                           | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Tekken Tag Tournament 2                                                                 | Bandai Namco Games                     | PlayStation 3 | 2012 | Europe
|       | Terminator Salvation                                                                    | Evolved Games                          | PlayStation 3 | 2009 | Europe
|       | Terraria                                                                                | 505 Games                              | PlayStation 3 | 2013 | Europe
|       | Teslagrad                                                                               | Soedesco                               | PlayStation 3 | 2015 | Europe
|       | Test Drive Unlimited 2                                                                  | Atari SA                               | PlayStation 3 | 2011 | Europe
|       | Testament of Sherlock Holmes, The                                                       | Focus Home Interactive                 | PlayStation 3 | 2012 | Europe
|       | Thief                                                                                   | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | Thor: God of Thunder                                                                    | Sega                                   | PlayStation 3 | 2011 | Europe
|       | Tiger Woods PGA Tour 07                                                                 | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | Tiger Woods PGA Tour 08                                                                 | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | Tiger Woods PGA Tour 09                                                                 | EA Sports                              | PlayStation 3 | 2008 | Europe
|       | Tiger Woods PGA Tour 10                                                                 | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Tiger Woods PGA Tour 11                                                                 | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | Tiger Woods PGA Tour 12: The Masters                                                    | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Tiger Woods PGA Tour 13                                                                 | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Tiger Woods PGA Tour 14                                                                 | EA Sports                              | PlayStation 3 | 2013 | Europe
|       | Time and Eternity                                                                       | NIS America                            | PlayStation 3 | 2013 | Europe
|       | Time Crisis 4                                                                           | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Time Crisis Razing Storm                                                                | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | TimeShift                                                                               | Sierra Entertainment                   | PlayStation 3 | 2007 | Europe
|       | TNA iMPACT!                                                                             | Midway                                 | PlayStation 3 | 2008 | Europe
|       | Tokyo Twilight Ghost Hunters                                                            | NIS America                            | PlayStation 3 | 2015 | Europe
|       | Tom Clancy's EndWar                                                                     | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Tom Clancy's Ghost Recon Advanced Warfighter 2                                          | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Tom Clancy's Ghost Recon Double Pack                                                    | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Tom Clancy's Ghost Recon: Future Soldier                                                | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Tom Clancy's HAWX                                                                       | Ubisoft                                | PlayStation 3 | 2009 | Europe
|       | Tom Clancy's HAWX 2                                                                     | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Tom Clancy's Rainbow Six Vegas                                                          | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Tom Clancy's Rainbow Six Vegas 2                                                        | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon Advanced Warfighter 2 Double Pack        | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Tom Clancy's Splinter Cell Classic Trilogy HD                                           | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Tom Clancy's Splinter Cell Double Agent                                                 | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Tom Clancy's Splinter Cell Double Agent / Rainbow Six Vegas Double Pack                 | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Tom Clancy's Splinter Cell: Blacklist                                                   | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Tomb Raider                                                                             | Square Enix                            | PlayStation 3 | 2013 | Europe
|       | Tomb Raider Trilogy, The                                                                | Square Enix                            | PlayStation 3 | 2011 | Europe
|       | Tomb Raider: Underworld                                                                 | Eidos Interactive                      | PlayStation 3 | 2008 | Europe
|       | Tony Hawk Ride                                                                          | Activision                             | PlayStation 3 | 2009 | Europe
|       | Tony Hawk: Shred                                                                        | Activision                             | PlayStation 3 | 2010 | Europe
|       | Tony Hawk's Project 8                                                                   | Activision                             | PlayStation 3 | 2007 | Europe
|       | Tony Hawk's Proving Ground                                                              | Activision                             | PlayStation 3 | 2007 | Europe
|       | Top Gun: Hard Lock                                                                      | 505 Games                              | PlayStation 3 | 2012 | Europe
|       | Top Spin 3                                                                              | 2K Sports                              | PlayStation 3 | 2008 | Europe
|       | Top Spin 4                                                                              | 2K Sports                              | PlayStation 3 | 2011 | Europe
|       | Tornado Outbreak                                                                        | Konami                                 | PlayStation 3 | 2009 | Europe
|       | Tour de France 2014                                                                     | Focus Home Interactive                 | PlayStation 3 | 2014 | Europe
|       | Tour de France 2015                                                                     | Focus Home Interactive                 | PlayStation 3 | 2015 | Europe
|       | Tower of Guns                                                                           | Soedesco                               | PlayStation 3 | 2015 | Europe
|       | Toy Story Mania!                                                                        | Disney Interactive Studios             | PlayStation 3 | 2012 | Europe
|       | Transformers: Dark of the Moon                                                          | Activision                             | PlayStation 3 | 2011 | Europe
|       | Transformers: Devastation                                                               | Activision                             | PlayStation 3 | 2015 | Europe
|       | Transformers: Fall of Cybertron                                                         | Activision                             | PlayStation 3 | 2012 | Europe
|       | Transformers: Revenge of the Fallen                                                     | Activision                             | PlayStation 3 | 2009 | Europe
|       | Transformers: Rise of the Dark Spark                                                    | Activision                             | PlayStation 3 | 2014 | Europe
|       | Transformers: The Game                                                                  | Activision                             | PlayStation 3 | 2007 | Europe
|       | Transformers: War for Cybertron                                                         | Activision                             | PlayStation 3 | 2010 | Europe
|       | Trinity Universe                                                                        | NIS America                            | PlayStation 3 | 2010 | Europe
|       | Trinity: Souls of Zill O'll                                                             | Tecmo Koei Games                       | PlayStation 3 | 2011 | Europe
|       | Trivial Pursuit                                                                         | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | TRON: Evolution                                                                         | Disney Interactive Studios             | PlayStation 3 | 2010 | Europe
|       | Truth or Lies                                                                           | THQ                                    | PlayStation 3 | 2010 | Europe
|       | Turbo: Super Stunt Squad                                                                | D3Publisher                            | PlayStation 3 | 2013 | Europe
|       | Turning Point: Fall of Liberty                                                          | Codemasters                            | PlayStation 3 | 2008 | Europe
|       | Turok                                                                                   | Disney Interactive Studios             | PlayStation 3 | 2008 | Europe
|       | TV Superstars                                                                           | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Twisted Metal                                                                           | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Two Worlds II                                                                           | TopWare Interactive                    | PlayStation 3 | 2010 | Europe
|       | Two Worlds II: Velvet GOTY Edition                                                      | TopWare Interactive                    | PlayStation 3 | 2011 | Europe
|       | uDraw Studio: Instant Artist                                                            | THQ                                    | PlayStation 3 | 2011 | Europe
|       | UEFA EURO 2008: Austria-Switzerland                                                     | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | UEFA EURO 2016: Pro Evolution Soccer                                                    | Konami                                 | PlayStation 3 | 2016 | Europe
|       | UFC Personal Trainer: The Ultimate Fitness System                                       | THQ                                    | PlayStation 3 | 2011 | Europe
|       | UFC Undisputed 2009                                                                     | THQ                                    | PlayStation 3 | 2009 | Europe
|       | UFC Undisputed 2010                                                                     | THQ                                    | PlayStation 3 | 2010 | Europe
|       | UFC Undisputed 3                                                                        | THQ                                    | PlayStation 3 | 2012 | Europe
|       | Ultimate Action Triple Pack                                                             | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | Ultimate Battle of the Sexes: Quiz & Play, The                                          | DTP Entertainment                      | PlayStation 3 | 2012 | Europe
|       | Ultimate Marvel vs. Capcom 3                                                            | Capcom                                 | PlayStation 3 | 2011 | Europe
|       | Ultimate Stealth Triple Pack                                                            | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | Ultra Street Fighter IV                                                                 | Capcom                                 | PlayStation 3 | 2014 | Europe
|       | Uncharted 2: Among Thieves                                                              | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Uncharted 3: Drake's Deception                                                          | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Uncharted Trilogy Edition                                                               | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Uncharted: Drake's Fortune                                                              | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Uncharted: Drake's Fortune & Uncharted 2: Among Thieves                                 | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Under Defeat HD                                                                         | Rising Star Games                      | PlayStation 3 | 2012 | Europe
|       | Under Night In-Birth Exe:Late                                                           | NIS America                            | PlayStation 3 | 2015 | Europe
|       | Unreal Tournament III                                                                   | Midway                                 | PlayStation 3 | 2008 | Europe
|       | Untold Legends: Dark Kingdom                                                            | Sony Online Entertainment              | PlayStation 3 | 2007 | Europe
|       | Up                                                                                      | THQ                                    | PlayStation 3 | 2009 | Europe
|       | Valkyria Chronicles                                                                     | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Vampire Rain: Altered Species                                                           | Ignition Entertainment                 | PlayStation 3 | 2008 | Europe
|       | Vancouver 2010 - The Official Video Game of the Olympic Winter Games                    | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Vanquish                                                                                | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Venetica                                                                                | DTP Entertainment                      | PlayStation 3 | 2010 | Europe
|       | Viking: Battle for Asgard                                                               | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Virtua Fighter 5                                                                        | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Virtua Tennis 2009                                                                      | Sega                                   | PlayStation 3 | 2009 | Europe
|       | Virtua Tennis 3                                                                         | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Virtua Tennis 4                                                                         | Sega                                   | PlayStation 3 | 2011 | Europe
|       | Voice of Germany Vol. 2, The                                                            | bitComposer                            | PlayStation 3 | 2013 | Europe
|       | Walking Dead: A Telltale Games Series - Game of the Year Edition, The                   | Telltale Games                         | PlayStation 3 | 2013 | Europe
|       | Walking Dead: A Telltale Games Series, The                                              | Telltale Games                         | PlayStation 3 | 2013 | Europe
|       | Walking Dead: Season Two - A Telltale Games Series, The                                 | Telltale Games                         | PlayStation 3 | 2014 | Europe
|       | Walking Dead: Survival Instinct, The                                                    | Activision                             | PlayStation 3 | 2013 | Europe
|       | WALL-E                                                                                  | THQ                                    | PlayStation 3 | 2008 | Europe
|       | Wanted: Weapons of Fate                                                                 | Warner Bros. Interactive Entertainment | PlayStation 3 | 2009 | Europe
|       | Warhammer 40,000: Space Marine                                                          | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Warhawk                                                                                 | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Warriors Orochi 3                                                                       | Koei Tecmo Games                       | PlayStation 3 | 2012 | Europe
|       | Warriors Orochi 3 Ultimate                                                              | Koei Tecmo Games                       | PlayStation 3 | 2017 | Europe
|       | Warriors: Legends of Troy                                                               | Koei Tecmo Games                       | PlayStation 3 | 2011 | Europe
|       | Watch Dogs                                                                              | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Watchmen: The End is Nigh Parts 1 and 2                                                 | Warner Bros. Interactive Entertainment | PlayStation 3 | 2009 | Europe
|       | Way of the Samurai 3                                                                    | Gamebridge                             | PlayStation 3 | 2010 | Europe
|       | Way of the Samurai 4                                                                    | NIS America                            | PlayStation 3 | 2012 | Europe
|       | We Dare                                                                                 | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Wet                                                                                     | Bethesda Softworks                     | PlayStation 3 | 2009 | Europe
|       | Wheelman                                                                                | Ubisoft                                | PlayStation 3 | 2009 | Europe
|       | Where the Wild Things Are                                                               | Warner Bros. Interactive Entertainment | PlayStation 3 | 2009 | Europe
|       | White Knight Chronicles                                                                 | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | White Knight Chronicles II                                                              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Williams Pinball Classics                                                               | System 3                               | PlayStation 3 | 2011 | Europe
|       | Winter Sports 2011                                                                      | DTP Entertainment                      | PlayStation 3 | 2011 | Europe
|       | Winter Stars                                                                            | Deep Silver                            | PlayStation 3 | 2011 | Europe
|       | Wipeout HD                                                                              | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | WipEout HD Fury                                                                         | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Witch and the Hundred Knight, The                                                       | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Wizardry: Labyrinth of Lost Souls                                                       | Xseed Games                            | PlayStation 3 | 2017 | Europe
|       | Wolf Among Us, The                                                                      | Telltale Games                         | PlayStation 3 | 2014 | Europe
|       | Wolfenstein                                                                             | Activision                             | PlayStation 3 | 2009 | Europe
|       | Wolfenstein: The New Order                                                              | Bethesda Softworks                     | PlayStation 3 | 2014 | Europe
|       | Wonderbook: Book of Potions                                                             | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Wonderbook: Book of Spells                                                              | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Wonderbook: Diggs Nightcrawler                                                          | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Wonderbook: Walking with Dinosaurs                                                      | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | World Series of Poker 2008: Battle for the Bracelets                                    | Activision                             | PlayStation 3 | 2007 | Europe
|       | World Snooker Championship 2007                                                         | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Worms Collection                                                                        | Mastertronic                           | PlayStation 3 | 2012 | Europe
|       | Worms: The Revolution Collection                                                        | Mastertronic                           | PlayStation 3 | 2014 | Europe
|       | WRC 2: FIA World Rally Championship                                                     | Black Bean Games                       | PlayStation 3 | 2011 | Europe
|       | WRC 3: FIA World Rally Championship                                                     | Milestone S.r.l                        | PlayStation 3 | 2012 | Europe
|       | WRC 4: FIA World Rally Championship                                                     | BigBen Interactive                     | PlayStation 3 | 2013 | Europe
|       | WRC 5                                                                                   | BigBen Interactive                     | PlayStation 3 | 2015 | Europe
|       | WRC: FIA World Rally Championship                                                       | Black Bean Games                       | PlayStation 3 | 2010 | Europe
|       | WSC Real 09: World Championship Snooker                                                 | Koch Media                             | PlayStation 3 | 2009 | Europe
|       | WSC Real 11: World Snooker Championship                                                 | Koch Media                             | PlayStation 3 | 2011 | Europe
|       | WWE '12                                                                                 | THQ                                    | PlayStation 3 | 2011 | Europe
|       | WWE '13                                                                                 | THQ                                    | PlayStation 3 | 2012 | Europe
|       | WWE 2K14                                                                                | 2K Games                               | PlayStation 3 | 2013 | Europe
|       | WWE 2K15                                                                                | 2K Sports                              | PlayStation 3 | 2014 | Europe
|       | WWE 2K16                                                                                | 2K Sports                              | PlayStation 3 | 2015 | Europe
|       | WWE 2K17                                                                                | 2K Games                               | PlayStation 3 | 2016 | Europe
|       | WWE All Stars                                                                           | THQ                                    | PlayStation 3 | 2011 | Europe
|       | WWE Legends of WrestleMania                                                             | THQ                                    | PlayStation 3 | 2009 | Europe
|       | WWE SmackDown vs. Raw 2008                                                              | THQ                                    | PlayStation 3 | 2007 | Europe
|       | WWE SmackDown vs. Raw 2009                                                              | THQ                                    | PlayStation 3 | 2008 | Europe
|       | WWE Smackdown vs. Raw 2010                                                              | THQ                                    | PlayStation 3 | 2009 | Europe
|       | WWE Smackdown vs. Raw 2011                                                              | THQ                                    | PlayStation 3 | 2010 | Europe
|       | X-Blades                                                                                | SouthPeak Games                        | PlayStation 3 | 2009 | Europe
|       | X-Factor, The                                                                           | Deep Silver                            | PlayStation 3 | 2010 | Europe
|       | X-Men Origins: Wolverine                                                                | Activision                             | PlayStation 3 | 2009 | Europe
|       | X-Men: Destiny                                                                          | Activision                             | PlayStation 3 | 2011 | Europe
|       | XBLAZE Code: Embryo                                                                     | Funbox Media                           | PlayStation 3 | 2015 | Europe
|       | XBLAZE: Lost Memories                                                                   | Arc System Works                       | PlayStation 3 | 2016 | Europe
|       | XCOM: Enemy Unknown                                                                     | 2K Games                               | PlayStation 3 | 2012 | Europe
