|       | 18 Wheeler: American Pro Trucker                          | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Pro Yakyuu Team o Tsukurou! & Asobou!                                  | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Psychic Force 2012                                                     | Taito Corporation             | Sega Dreamcast | 1999 | NTSC (JP)
|       | Psyvariar 2: The Will to Fabricate                                     | Success                       | Sega Dreamcast | 2004 | NTSC (JP)
|       | Puyo Puyo DA                                                           | Compile                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | Puyo Puyo Fever                                                        | Sega                          | Sega Dreamcast | 2004 | NTSC (JP)
|       | Puyo Puyo~n                                                            | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Puzzle Bobble 4                                                        | CyberFront                    | Sega Dreamcast | 2000 | NTSC (JP)
|       | Quiz Aa Megami-Sama Tatakau Tsubasa to Tomoni                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Radirgy                                                                | MileStone Inc.                | Sega Dreamcast | 2006 | NTSC (JP)
|       | Rainbow Cotton                                                         | Success                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Rayman: Kaizokufune Kara no Dasshutsu!                                 | Ubisoft                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Re-Volt                                                                | Acclaim Japan                 | Sega Dreamcast | 2000 | NTSC (JP)
|       | Ready 2 Rumble Boxing                                                  | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Real Sound: Kaze no Regret                                             | WARP                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Record of Lodoss War: Advent of Cardice                                | ESP Software                  | Sega Dreamcast | 2000 | NTSC (JP)
|       | Redline Racer                                                          | Ubisoft                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | Redux: Dark Matters                                                    | HUCAST                        | Sega Dreamcast | 2014 | NTSC (JP)
|       | Renai Adventure: Bittersweet Fools, The                                | D3Publisher                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Renai Chu! Happy Perfect                                               | GN Software                   | Sega Dreamcast | 2003 | NTSC (JP)
|       | Rent A Hero No. 1                                                      | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Revive... Sosei                                                        | Data East                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Rez                                                                    | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Ring                                                                   | Asmik Ace Entertainment, Inc  | Sega Dreamcast | 2000 | NTSC (JP)
|       | Roommania #203                                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Roommate Asami: Okusama wa Joshikousei Director's Edition              | Datam Polystar                | Sega Dreamcast | 2002 | NTSC (JP)
|       | Roommate Novel: Sato Yuka                                              | Datam Polystar                | Sega Dreamcast | 2000 | NTSC (JP)
|       | Run=Dim as BlackSoul                                                   | Idea Factory                  | Sega Dreamcast | 2001 | NTSC (JP)
|       | Rune Caster                                                            | Vision Games                  | Sega Dreamcast | 2000 | NTSC (JP)
|       | Rune Jade                                                              | Hudson                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sakura Momoko Gekijou: Kojikoji                                        | Marvelous Entertainment       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sakura Taisen                                                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sakura Taisen 2                                                        | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sakura Taisen 3: Paris wa Moeteiru ka                                  | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sakura Taisen 4                                                        | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sakura Taisen Complete Box                                             | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sakura Taisen Hanagumi Taisen Columns 2                                | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sakura Taisen Online: Paris no Nagai Hibi                              | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sakura Taisen: Kinematron Hanagumi Mail                                | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Samba de Amigo                                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Samba de Amigo Ver. 2000                                               | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | San Goku Shi VI                                                        | Koei                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | San Goku Shi VI with Power-Up Kit                                      | Koei                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Seaman                                                                 | Vivarium                      | Sega Dreamcast | 1999 | NTSC (JP)
|       | Seaman: Kindan no Pet 2001                                             | Vivarium                      | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Extreme Sports                                                    | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sega GT Homologation Special                                           | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Marine Fishing                                                    | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Professional Tennis: Power Smash                                  | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Rally Championship 2                                              | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sega Sports NBA 2K                                                     | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Sports NBA 2K1                                                    | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sega Sports NBA 2K2                                                    | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sega Sports NFL 2K                                                     | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sega Sports NFL 2K1                                                    | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sega Sports NFL 2K2                                                    | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sega Sports NHL 2K2                                                    | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sega Tetris                                                            | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Segagaga                                                               | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Seirai Hata RayBlade                                                   | WinkySoft                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Seitai Heiki Expendable                                                | Imagineer                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sekai Fushigi Hakken! Troya                                            | TBS                           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sengoku Turb                                                           | NEC Interchannel              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sengoku Turb F.I.D                                                     | NEC Interchannel              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sentimental Graffiti 2                                                 | NEC Interchannel              | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sentimental Graffiti: Yakusoku                                         | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Seventh Cross                                                          | NEC Interchannel              | Sega Dreamcast | 1998 | NTSC (JP)
|       | Shanghai: Dynasty                                                      | Success                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Shenmue II                                                             | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Shenmue: Isshou Yokosuka                                               | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shikigami no Shiro II                                                  | MediaQuest                    | Sega Dreamcast | 2004 | NTSC (JP)
|       | Shin Honkaku Hanafuda                                                  | Altron                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shin Nippon Pro Wrestling: Toukon Retsuden 4                           | Tomy Corporation              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shinkisekai Evolution                                                  | ESP Software                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shinkisekai Evolution 2                                                | ESP Software                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shinri Game, The                                                       | Visit                         | Sega Dreamcast | 2001 | NTSC (JP)
|       | Shinseiki Evangelion: Ayanami Ikusei Keikaku                           | Broccoli                      | Sega Dreamcast | 2002 | NTSC (JP)
|       | Shinseiki Evangelion: Typing E-Keikaku                                 | Gainax                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Shinseiki Evangelion: Typing Hokan Keikaku                             | Gainax                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Shirotsume Souwa: Episode of the Clovers                               | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Shutoko Battle                                                         | Genki                         | Sega Dreamcast | 1999 | NTSC (JP)
|       | Shutoko Battle 2                                                       | Genki                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Silent Scope                                                           | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Simple 2000 Series Vol. 1: The Renai Adventure: Bitter Sweet Fools     | D3Publisher                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Simple 2000 Series Vol. 2: The Renai Simulation: Natsuiro Celebration  | D3Publisher                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Simple 2000 Series Vol. 3: The Renai Simulation 2: Fureai              | D3Publisher                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Simple 2000 Series Vol. 4: The Renai Adventure: Okaeri!                | D3Publisher                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sister Princess Premium Edition                                        | Media Works                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Snow                                                                   | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Soccer Tsuku Tokudai Gou 2: J.League Pro Soccer Club o Tsukurou!       | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Soccer Tsuku Tokudai Gou J.League Pro Soccer Club o Tsukurou!          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sonic Adventure                                                        | Sega                          | Sega Dreamcast | 1998 | NTSC (JP)
|       | Sonic Adventure 2                                                      | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sonic Adventure 2 The Trial                                            | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sonic Shuffle                                                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sorcerian: Shichisei Mahou no Shito                                    | Victor Interactive Software   | Sega Dreamcast | 2000 | NTSC (JP)
|       | SoulCalibur                                                            | Namco                         | Sega Dreamcast | 1999 | NTSC (JP)
|       | Space Channel 5                                                        | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Space Channel 5 Part 2                                                 | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Spawn: In the Demon's Hand                                             | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Speed Devils                                                           | Ubisoft                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | Spirit of Speed 1937                                                   | Acclaim Japan                 | Sega Dreamcast | 2001 | NTSC (JP)
|       | Sports Jam                                                             | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | ST Station Passport                                                    | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Star Gladiator 2: Nightmare of Blisten                                 | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Street Fighter III: 3rd Strike                                         | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Street Fighter III: W Impact                                           | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Street Fighter Zero 3: Saikyooryuu Doujou                              | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Sturmwind                                                              | redspotgames                  | Sega Dreamcast | 2013 | NTSC (JP)
|       | Suigetsu Mayoi-Gokoro                                                  | Kid                           | Sega Dreamcast | 2004 | NTSC (JP)
|       | Suika                                                                  | Princess Soft                 | Sega Dreamcast | 2002 | NTSC (JP)
|       | Sunrise Eiyuutan                                                       | Sunrise Interactive           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Super Euro Soccer 2000                                                 | Imagineer                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Super Magnetic NiuNiu                                                  | Genki                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Super Producers                                                        | Hudson                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Super Puzzle Fighter II X for Matching Service                         | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Super Robot Taisen Alpha for Dreamcast                                 | Banpresto                     | Sega Dreamcast | 2001 | NTSC (JP)
|       | Super Runabout                                                         | Climax Entertainment          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Super Speed Racing                                                     | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Super Street Fighter II X: Grand Master Challenge                      | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Sweet Season                                                           | Takuyo                        | Sega Dreamcast | 2003 | NTSC (JP)
|       | Sydney 2000                                                            | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Taisen Net Gimmick: Capcom & Psikyo All Stars                          | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Tako no Marine                                                         | Micro Cabin                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Tamakyuu                                                               | NEC Interchannel              | Sega Dreamcast | 2004 | NTSC (JP)
|       | Tanaka Torahiko no Uru Toraryuu Shogi                                  | Arc System Works              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Tantei Shinshi Dash!                                                   | Abel Software                 | Sega Dreamcast | 2000 | NTSC (JP)
|       | Tenohirao, Taiyouni                                                    | Princess Soft                 | Sega Dreamcast | 2004 | NTSC (JP)
|       | Tentama: 1st Sunnyside                                                 | Kid                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Tetris 4D                                                              | Bullet Proof Software         | Sega Dreamcast | 1998 | NTSC (JP)
|       | Tokusatsu Bouken Katsugeki Super Hero Retsuden                         | Banpresto                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Tokyo Bus Annai                                                        | Fortyfive                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Tokyo Bus Annai: Bijin Bug Guide Tenjou Pack                           | Fortyfive                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Tomb Raider 4: The Last Revelation                                     | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Totsugeki! Teketeke!! Toy Ranger                                       | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Toyota Digital Catalog - Celsior                                       | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Celica                                       | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Estima                                       | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - FunCargo                                     | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Gaia                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Hilux Surf                                   | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Land Cruiser 100/Cygnus                      | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Toyota Doricatch Series - Land Cruiser Prado                           | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Treasure Strike                                                        | Kid                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Tricolore Crise                                                        | Victor Interactive Software   | Sega Dreamcast | 2000 | NTSC (JP)
|       | Triggerheart Exelica                                                   | Warashi                       | Sega Dreamcast | 2007 | NTSC (JP)
|       | Trizeal                                                                | Triangle Service              | Sega Dreamcast | 2005 | NTSC (JP)
|       | Tsuki wa Higashi ni Ha wa Nishi na: Operation Sanctuary                | Alchemist                     | Sega Dreamcast | 2004 | NTSC (JP)
|       | Twinkle Star Sprites                                                   | SNK                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Typing of the Date                                                     | Hudson                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Typing of the Dead, The                                                | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Ultimate Fighting Championship                                         | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Under Defeat                                                           | G.Rev                         | Sega Dreamcast | 2006 | NTSC (JP)
|       | Undercover AD2025 Kei                                                  | Pulse Entertainment           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Utau * Tumbling Dice                                                   | Reindeer                      | Sega Dreamcast | 2004 | NTSC (JP)
|       | Vampire Chronicle for Matching Service                                 | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Vermilion Desert                                                       | Riverhillsoft                 | Sega Dreamcast | 1999 | NTSC (JP)
|       | Vigilante 8: 2nd Battle                                                | Syscom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Virtua Athlete 2K                                                      | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Virtua Cop 2                                                           | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Virtua Fighter 3tb                                                     | Sega                          | Sega Dreamcast | 1998 | NTSC (JP)
|       | Virtua Striker 2 Ver. 2000.1                                           | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Weakness Hero Torauman                                                 | Fortyfive                     | Sega Dreamcast | 2002 | NTSC (JP)
|       | Web Mystery: Yochi Yume o Kenru Neko                                   | Mebius                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | What's Shenmue                                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Wind -a breath of heart-                                               | Atypical Alchemists Associate | Sega Dreamcast | 2003 | NTSC (JP)
|       | Winning Post 4 Program 2000                                            | Koei                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | World Neverland 2 Plus                                                 | Riverhillsoft                 | Sega Dreamcast | 2000 | NTSC (JP)
|       | World Neverland Plus: Orurudo Oukoku Monogatari                        | Riverhillsoft                 | Sega Dreamcast | 1999 | NTSC (JP)
|       | World Series Baseball 2K1                                              | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | World Series Baseball 2K2                                              | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | WWF Royal Rumble                                                       | Yuke's                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Yoshia no Oka de Nekoronde...                                          | Naxat Soft                    | Sega Dreamcast | 2001 | NTSC (JP)
|       | Yu Suzuki Game Works Vol. 1                                            | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Yukawa Moto Senmu no Okatara Ikushi                                    | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Yuki Gatari                                                            | Takuyo                        | Sega Dreamcast | 2002 | NTSC (JP)
|       | Yukyu Gensokyoku 3: Perpetual Blue                                     | Media Works                   | Sega Dreamcast | 1999 | NTSC (JP)
|       | Yume no Tsubasa: Fate of Heart                                         | Kid                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Yume Uma Ken '99 Internet                                              | Shangri-La                    | Sega Dreamcast | 1999 | NTSC (JP)
|       | Zero Gunner 2                                                          | Psikyo                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Zombie Revenge                                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Zusar Vasar                                                            | Real Vision                   | Sega Dreamcast | 2000 | NTSC (JP)
