|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Fight Night Round 3                                         | EA Sports                              | Xbox 360 | 2006 | NTSC (JP)
|       | Fight Night Round 4                                         | EA Sports                              | Xbox 360 | 2010 | NTSC (JP)
|       | Fighters Uncaged                                            | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Final Fantasy XI: Adoulin no Makyou                         | Square Enix                            | Xbox 360 | 2013 | NTSC (JP)
|       | Final Fantasy XI: All-In-One Pack 2006                      | Square Enix                            | Xbox 360 | 2006 | NTSC (JP)
|       | Final Fantasy XI: Altana no Shinpei                         | Square Enix                            | Xbox 360 | 2007 | NTSC (JP)
|       | Final Fantasy XI: Vana'diel Collection                      | Square Enix                            | Xbox 360 | 2007 | NTSC (JP)
|       | Final Fantasy XI: Vana'diel Collection 2                    | Square Enix                            | Xbox 360 | 2009 | NTSC (JP)
|       | Final Fantasy XIII International                            | Square Enix                            | Xbox 360 | 2010 | NTSC (JP)
|       | Final Fantasy XIII-2                                        | Square Enix                            | Xbox 360 | 2011 | NTSC (JP)
|       | FlatOut: Ultimate Carnage                                   | Empire Interactive                     | Xbox 360 | 2008 | NTSC (JP)
|       | Forza Horizon                                               | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Forza Horizon 2                                             | Microsoft Game Studios                 | Xbox 360 | 2014 | NTSC (JP)
|       | Forza Motorsport 2                                          | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Forza Motorsport 3                                          | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Forza Motorsport 4                                          | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Fracture                                                    | Activision                             | Xbox 360 | 2008 | NTSC (JP)
|       | Front Mission Evolved                                       | Square Enix                            | Xbox 360 | 2010 | NTSC (JP)
|       | Frontlines: Fuel of War                                     | THQ                                    | Xbox 360 | 2008 | NTSC (JP)
|       | Fuel                                                        | Codemasters                            | Xbox 360 | 2009 | NTSC (JP)
|       | Full Auto                                                   | Sega                                   | Xbox 360 | 2006 | NTSC (JP)
|       | Fuzion Frenzy 2                                             | Hudson                                 | Xbox 360 | 2007 | NTSC (JP)
|       | Ga-Sen Love Plus Pengo!                                     | Triangle Service                       | Xbox 360 | 2014 | NTSC (JP)
|       | Gal*Gun                                                     | Alchemist                              | Xbox 360 | 2011 | NTSC (JP)
|       | Gears of War                                                | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Gears of War 2                                              | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Gears of War 3                                              | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Gears of War Twin Pack                                      | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Gears of War: Judgment                                      | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (JP)
|       | Gears of War: Trilogy Pack                                  | Microsoft Game Studios                 | Xbox 360 | 2014 | NTSC (JP)
|       | Ginga Force                                                 | Qute                                   | Xbox 360 | 2013 | NTSC (JP)
|       | Ginga Force & Eschatos Wonder Pack                          | Qute                                   | Xbox 360 | 2013 | NTSC (JP)
|       | Godfather II, The                                           | Electronic Arts                        | Xbox 360 | 2009 | NTSC (JP)
|       | Godfather, The                                              | Electronic Arts                        | Xbox 360 | 2007 | NTSC (JP)
|       | Grand Theft Auto IV                                         | Capcom                                 | Xbox 360 | 2008 | NTSC (JP)
|       | Grand Theft Auto IV: The Complete Edition                   | Rockstar Games                         | Xbox 360 | 2011 | NTSC (JP)
|       | Grand Theft Auto V                                          | Rockstar Games                         | Xbox 360 | 2013 | NTSC (JP)
|       | Grand Theft Auto: Episodes from Liberty City                | Rockstar Games                         | Xbox 360 | 2010 | NTSC (JP)
|       | GRID Autosport                                              | Codemasters                            | Xbox 360 | 2014 | NTSC (JP)
|       | Guilty Gear 2: Overture                                     | Arc System Works                       | Xbox 360 | 2007 | NTSC (JP)
|       | Guitar Hero III: Legends of Rock                            | Activision                             | Xbox 360 | 2008 | NTSC (JP)
|       | Guitar Hero: Aerosmith on Tour                              | Activision                             | Xbox 360 | 2008 | NTSC (JP)
|       | Gundam Musou 2                                              | Bandai Namco Games                     | Xbox 360 | 2008 | NTSC (JP)
|       | Gundam Musou 3                                              | Bandai Namco Games                     | Xbox 360 | 2010 | NTSC (JP)
|       | Gundam Musou International                                  | Namco Bandai Games                     | Xbox 360 | 2007 | NTSC (JP)
|       | Gunstringer, The                                            | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Halo 3                                                      | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Halo 3: ODST                                                | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Halo 4                                                      | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Halo Wars                                                   | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Halo: Combat Evolved Anniversary                            | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Halo: Origin Pack                                           | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (JP)
|       | Halo: Reach                                                 | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Harry Potter to Fushichou no Kishidan                       | EA Games                               | Xbox 360 | 2007 | NTSC (JP)
|       | Heavy Fire: Shattered Spear                                 | Hamster                                | Xbox 360 | 2013 | NTSC (JP)
|       | Hitman: Absolution                                          | Square Enix                            | Xbox 360 | 2013 | NTSC (JP)
|       | Hitman: Blood Money                                         | Spike                                  | Xbox 360 | 2007 | NTSC (JP)
|       | Hokuto Musou                                                | Koei                                   | Xbox 360 | 2010 | NTSC (JP)
|       | Homefront                                                   | Spike                                  | Xbox 360 | 2011 | NTSC (JP)
|       | Hunted: The Demon's Forge                                   | Bethesda Softworks                     | Xbox 360 | 2011 | NTSC (JP)
|       | Idolm@ster 2, The                                           | Bandai Namco Games                     | Xbox 360 | 2011 | NTSC (JP)
|       | Idolm@ster, The                                             | Bandai Namco Games                     | Xbox 360 | 2007 | NTSC (JP)
|       | Idolm@ster: Live for You!, The                              | Bandai Namco Games                     | Xbox 360 | 2008 | NTSC (JP)
|       | Idolm@ster: Twins, The                                      | Bandai Namco Games                     | Xbox 360 | 2009 | NTSC (JP)
|       | Infernal: Hell's Vengeance                                  | Russel                                 | Xbox 360 | 2009 | NTSC (JP)
|       | Infinite Undiscovery                                        | Square Enix                            | Xbox 360 | 2008 | NTSC (JP)
|       | Instant Brain                                               | Cave                                   | Xbox 360 | 2011 | NTSC (JP)
|       | James Bond 007: Blood Stone                                 | Square Enix                            | Xbox 360 | 2011 | NTSC (JP)
|       | James Cameron's Avatar: The Game                            | Ubisoft                                | Xbox 360 | 2010 | NTSC (JP)
|       | Janline                                                     | Recom                                  | Xbox 360 | 2008 | NTSC (JP)
|       | Just Cause 2                                                | Square Enix                            | Xbox 360 | 2010 | NTSC (JP)
|       | Just Cause: Viva Revolution                                 | Electronic Arts                        | Xbox 360 | 2007 | NTSC (JP)
|       | Jutekki: Steel Batallion                                    | Capcom                                 | Xbox 360 | 2012 | NTSC (JP)
|       | Kameo: Elements of Power                                    | Microsoft Game Studios                 | Xbox 360 | 2006 | NTSC (JP)
|       | Kane & Lynch 2: Dog Days                                    | Square Enix                            | Xbox 360 | 2010 | NTSC (JP)
|       | Kane & Lynch: Dead Men                                      | Spike                                  | Xbox 360 | 2008 | NTSC (JP)
|       | Karada de Kitaeru Atarashii Nou Tore                        | Bandai Namco Games                     | Xbox 360 | 2010 | NTSC (JP)
|       | Kengo Zero                                                  | Genki                                  | Xbox 360 | 2006 | NTSC (JP)
|       | Ketsui: Kizuna Jigoku Tachi Extra                           | 5pb                                    | Xbox 360 | 2010 | NTSC (JP)
|       | Killer Is Dead                                              | Kadokawa                               | Xbox 360 | 2013 | NTSC (JP)
|       | Kinect Adventures!                                          | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Kinect Animals                                              | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Kinect Animals: Fushigi na Shima no Nakamatachi             | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Kinect Joy Ride                                             | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Kinect Rush: A Disney-Pixar Adventure                       | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Kinect Sports                                               | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Kinect Sports: Season Two                                   | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | Kinect Sports: Ultimate Collection                          | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Kinect Star Wars                                            | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Kinect: Disneyland Adventures                               | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (JP)
|       | King of Fighters XII, The                                   | SNK Playmore                           | Xbox 360 | 2009 | NTSC (JP)
|       | King of Fighters XIII, The                                  | SNK Playmore                           | Xbox 360 | 2011 | NTSC (JP)
|       | Kingdom Under Fire: Circle of Doom                          | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Kingdoms of Amalur: Reckoning                               | Spike Chunsoft                         | Xbox 360 | 2012 | NTSC (JP)
|       | Knights Contract                                            | Bandai Namco Games                     | Xbox 360 | 2011 | NTSC (JP)
|       | L.A. Noire                                                  | Rockstar Games                         | Xbox 360 | 2011 | NTSC (JP)
|       | Last Remnant, The                                           | Square Enix                            | Xbox 360 | 2008 | NTSC (JP)
|       | Left 4 Dead                                                 | Electronic Arts                        | Xbox 360 | 2009 | NTSC (JP)
|       | Left 4 Dead 2                                               | Electronic Arts                        | Xbox 360 | 2009 | NTSC (JP)
|       | LEGO Batman: The Videogame                                  | Activision                             | Xbox 360 | 2008 | NTSC (JP)
|       | Lightning Returns: Final Fantasy XIII                       | Square Enix                            | Xbox 360 | 2013 | NTSC (JP)
|       | Lollipop Chainsaw                                           | Kadokawa                               | Xbox 360 | 2012 | NTSC (JP)
|       | Lord of the Rings: War in the North, The                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (JP)
|       | Lost Odyssey                                                | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Lost Planet 2                                               | Capcom                                 | Xbox 360 | 2010 | NTSC (JP)
|       | Lost Planet 3                                               | Capcom                                 | Xbox 360 | 2013 | NTSC (JP)
|       | Lost Planet: Colonies                                       | Capcom                                 | Xbox 360 | 2008 | NTSC (JP)
|       | Lost Planet: Extreme Condition                              | Capcom                                 | Xbox 360 | 2006 | NTSC (JP)
|       | Love Football: Aoki Senshi Tachi no Kiseki                  | Namco Bandai Games                     | Xbox 360 | 2006 | NTSC (JP)
|       | Love*Tra: Bitter                                            | Boost On                               | Xbox 360 | 2013 | NTSC (JP)
|       | Love*Tra: Chocolate                                         | Boost On                               | Xbox 360 | 2013 | NTSC (JP)
|       | Love*Tra: Mint                                              | Boost On                               | Xbox 360 | 2012 | NTSC (JP)
|       | Love*Tra: Sweet                                             | Boost On                               | Xbox 360 | 2012 | NTSC (JP)
|       | Machi-ing Maker 4                                           | D3Publisher                            | Xbox 360 | 2011 | NTSC (JP)
|       | Madden NFL 07                                               | EA Sports                              | Xbox 360 | 2006 | NTSC (JP)
|       | Madden NFL 08                                               | EA Sports                              | Xbox 360 | 2007 | NTSC (JP)
|       | Madden NFL 09 Eigoban                                       | Electronic Arts                        | Xbox 360 | 2008 | NTSC (JP)
|       | Madden NFL 11                                               | Electronic Arts                        | Xbox 360 | 2010 | NTSC (JP)
|       | Madden NFL 13                                               | EA Sports                              | Xbox 360 | 2017 | NTSC (JP)
|       | Mafia II                                                    | 2K Games                               | Xbox 360 | 2010 | NTSC (JP)
|       | MagnaCarta II                                               | Bandai Namco Games                     | Xbox 360 | 2009 | NTSC (JP)
|       | Mahjong * Dream C Club                                      | D3Publisher                            | Xbox 360 | 2012 | NTSC (JP)
|       | Maji-Tan: Maji de Tenshi o Sakutte Mita                     | Idea Factory                           | Xbox 360 | 2012 | NTSC (JP)
|       | Majin to Ushinawareta Oukoku                                | Bandai Namco Games                     | Xbox 360 | 2011 | NTSC (JP)
|       | Major League Baseball 2K10                                  | Take-Two Interactive                   | Xbox 360 | 2010 | NTSC (JP)
|       | Major League Baseball 2K11                                  | 2K Sports                              | Xbox 360 | 2011 | NTSC (JP)
|       | Major League Baseball 2K12                                  | Take-Two Interactive                   | Xbox 360 | 2012 | NTSC (JP)
|       | Major League Baseball 2K6                                   | Spike                                  | Xbox 360 | 2006 | NTSC (JP)
|       | Major League Baseball 2K7                                   | Spike                                  | Xbox 360 | 2007 | NTSC (JP)
|       | Major League Baseball 2K8                                   | Bethesda Softworks                     | Xbox 360 | 2008 | NTSC (JP)
|       | Major League Baseball 2K9                                   | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
|       | Mamoru-kun wa Norowarete Shimatta!                          | G.Rev                                  | Xbox 360 | 2009 | NTSC (JP)
|       | Marvel vs. Capcom 3: Fate of Two Worlds                     | Capcom                                 | Xbox 360 | 2011 | NTSC (JP)
|       | Mass Effect                                                 | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (JP)
|       | Mass Effect 2                                               | Electronic Arts                        | Xbox 360 | 2011 | NTSC (JP)
|       | Mass Effect 3                                               | Electronic Arts                        | Xbox 360 | 2012 | NTSC (JP)
|       | Max Anarchy                                                 | Sega                                   | Xbox 360 | 2012 | NTSC (JP)
|       | Max Payne 3                                                 | Rockstar Games                         | Xbox 360 | 2012 | NTSC (JP)
|       | Medal of Honor                                              | Electronic Arts                        | Xbox 360 | 2010 | NTSC (JP)
|       | Medal of Honor: Airborne                                    | Electronic Arts                        | Xbox 360 | 2007 | NTSC (JP)
|       | Medal of Honor: Warfighter                                  | Electronic Arts                        | Xbox 360 | 2012 | NTSC (JP)
|       | Meikyuu Cross Blood: Reloaded                               | Kadokawa                               | Xbox 360 | 2011 | NTSC (JP)
|       | Memories Off 6 Double Pack                                  | 5pb                                    | Xbox 360 | 2009 | NTSC (JP)
|       | Memories Off 6: Next Relation                               | 5pb                                    | Xbox 360 | 2009 | NTSC (JP)
|       | Memories Off 6: T-Wave                                      | 5pb                                    | Xbox 360 | 2009 | NTSC (JP)
|       | Memories Off: Yubikiri no Kioku                             | 5pb                                    | Xbox 360 | 2010 | NTSC (JP)
|       | Mercenaries 2: World in Flames                              | EA Games                               | Xbox 360 | 2008 | NTSC (JP)
|       | Metal Gear Solid HD Edition                                 | Konami                                 | Xbox 360 | 2011 | NTSC (JP)
|       | Metal Gear Solid V: Ground Zeroes                           | Konami                                 | Xbox 360 | 2014 | NTSC (JP)
|       | Metal Gear Solid: Peace Walker HD Edition                   | Konami                                 | Xbox 360 | 2011 | NTSC (JP)
|       | Metro 2033                                                  | Spike                                  | Xbox 360 | 2010 | NTSC (JP)
|       | Metro: Last Light                                           | Spike Chunsoft                         | Xbox 360 | 2013 | NTSC (JP)
|       | Michael Jackson The Experience                              | Ubisoft                                | Xbox 360 | 2011 | NTSC (JP)
|       | Midnight Club: Los Angeles                                  | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
|       | Mindjack                                                    | Square Enix                            | Xbox 360 | 2011 | NTSC (JP)
|       | Minecraft: Xbox 360 Edition                                 | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (JP)
|       | Mirror's Edge                                               | EA Games                               | Xbox 360 | 2008 | NTSC (JP)
|       | Mobile Suit Gundam: Operation: Troy                         | Bandai Namco Games                     | Xbox 360 | 2008 | NTSC (JP)
|       | Moe Moe 2-Ji Daisenryaku * Ultra Deluxe                     | SystemSoft                             | Xbox 360 | 2010 | NTSC (JP)
|       | Momotarou Dentetsu 16 Gold                                  | Hudson                                 | Xbox 360 | 2007 | NTSC (JP)
|       | Monster Hunter Frontier G1                                  | Capcom                                 | Xbox 360 | 2013 | NTSC (JP)
|       | Monster Hunter Frontier G2                                  | Capcom                                 | Xbox 360 | 2013 | NTSC (JP)
|       | Monster Hunter Frontier G3                                  | Capcom                                 | Xbox 360 | 2013 | NTSC (JP)
|       | Monster Hunter Frontier G5                                  | Capcom                                 | Xbox 360 | 2014 | NTSC (JP)
|       | Monster Hunter Frontier G6                                  | Capcom                                 | Xbox 360 | 2014 | NTSC (JP)
|       | Monster Hunter Frontier G7                                  | Capcom                                 | Xbox 360 | 2015 | NTSC (JP)
|       | Monster Hunter Frontier G8                                  | Capcom                                 | Xbox 360 | 2015 | NTSC (JP)
|       | Monster Hunter Frontier G9                                  | Capcom                                 | Xbox 360 | 2015 | NTSC (JP)
|       | Monster Hunter Frontier GG                                  | Capcom                                 | Xbox 360 | 2014 | NTSC (JP)
|       | Monster Hunter Frontier Online                              | Capcom                                 | Xbox 360 | 2010 | NTSC (JP)
|       | Monster Hunter Frontier Z                                   | Capcom                                 | Xbox 360 | 2016 | NTSC (JP)
|       | MotoGP '06                                                  | THQ                                    | Xbox 360 | 2006 | NTSC (JP)
|       | MotoGP 15                                                   | Intergrow                              | Xbox 360 | 2015 | NTSC (JP)
|       | Muchi Muchi Pork! & Pink Sweets: Ibara Sore Kara            | Cave                                   | Xbox 360 | 2011 | NTSC (JP)
|       | Murdered: Tamashii no Yobu Koe                              | Square Enix                            | Xbox 360 | 2014 | NTSC (JP)
|       | Mushihimesama                                               | Cave                                   | Xbox 360 | 2012 | NTSC (JP)
|       | Mushihimesama Futari Ver 1.5                                | Cave                                   | Xbox 360 | 2009 | NTSC (JP)
|       | Musou Orochi                                                | Koei                                   | Xbox 360 | 2007 | NTSC (JP)
|       | Musou Orochi 2                                              | Koei Tecmo Games                       | Xbox 360 | 2011 | NTSC (JP)
|       | Musou Orochi: Maou Sairin                                   | Koei                                   | Xbox 360 | 2008 | NTSC (JP)
|       | Muv-Luv                                                     | 5pb                                    | Xbox 360 | 2011 | NTSC (JP)
|       | Muv-Luv Alternative                                         | 5pb                                    | Xbox 360 | 2011 | NTSC (JP)
|       | Muv-Luv Alternative: Total Eclipse                          | 5pb                                    | Xbox 360 | 2013 | NTSC (JP)
|       | Muv-Luv Twin Pack                                           | 5pb                                    | Xbox 360 | 2011 | NTSC (JP)
|       | N3II: Ninety-Nine Nights                                    | Konami                                 | Xbox 360 | 2010 | NTSC (JP)
|       | nail'd                                                      | CyberFront                             | Xbox 360 | 2011 | NTSC (JP)
|       | Namco Museum: Virtual Arcade                                | Bandai Namco Games                     | Xbox 360 | 2009 | NTSC (JP)
|       | Naruto Shippuden: Narutimate Storm 2                        | Bandai Namco Games                     | Xbox 360 | 2010 | NTSC (JP)
|       | Naruto Shippuden: Narutimate Storm 3                        | Bandai Namco Games                     | Xbox 360 | 2013 | NTSC (JP)
|       | Naruto Shippuden: Narutimate Storm Generation               | Bandai Namco Games                     | Xbox 360 | 2012 | NTSC (JP)
|       | Naruto Shippuden: Narutimate Storm Revolution               | Bandai Namco Games                     | Xbox 360 | 2014 | NTSC (JP)
|       | NBA 2K10                                                    | 2K Sports                              | Xbox 360 | 2009 | NTSC (JP)
|       | NBA 2K11                                                    | 2K Sports                              | Xbox 360 | 2010 | NTSC (JP)
|       | NBA 2K12                                                    | 2K Sports                              | Xbox 360 | 2011 | NTSC (JP)
|       | NBA 2K13                                                    | 2K Sports                              | Xbox 360 | 2012 | NTSC (JP)
|       | NBA 2K14                                                    | 2K Sports                              | Xbox 360 | 2013 | NTSC (JP)
|       | NBA 2K15                                                    | 2K Sports                              | Xbox 360 | 2014 | NTSC (JP)
|       | NBA 2K18                                                    | 2K Games                               | Xbox 360 | 2017 | NTSC (JP)
|       | NBA 2K8                                                     | Spike                                  | Xbox 360 | 2008 | NTSC (JP)
|       | NBA 2K9                                                     | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
|       | NBA Live 06                                                 | EA Sports                              | Xbox 360 | 2006 | NTSC (JP)
|       | NBA Live 07                                                 | EA Sports                              | Xbox 360 | 2006 | NTSC (JP)
|       | NBA Live 08                                                 | EA Sports                              | Xbox 360 | 2007 | NTSC (JP)
|       | NBA Live 09                                                 | EA Sports                              | Xbox 360 | 2008 | NTSC (JP)
|       | NBA Live 10                                                 | EA Sports                              | Xbox 360 | 2009 | NTSC (JP)
|       | NBA Street Homecourt                                        | EA Sports Big                          | Xbox 360 | 2007 | NTSC (JP)
|       | Need for Speed Carbon                                       | EA Games                               | Xbox 360 | 2006 | NTSC (JP)
|       | Need for Speed Most Wanted                                  | Electronic Arts                        | Xbox 360 | 2005 | NTSC (JP)
|       | Need for Speed ProStreet                                    | EA Games                               | Xbox 360 | 2008 | NTSC (JP)
|       | Need for Speed Undercover                                   | Electronic Arts                        | Xbox 360 | 2008 | NTSC (JP)
|       | Need for Speed: Hot Pursuit                                 | Electronic Arts                        | Xbox 360 | 2010 | NTSC (JP)
|       | Need for Speed: Most Wanted - A Criterion Game              | Electronic Arts                        | Xbox 360 | 2012 | NTSC (JP)
|       | Need for Speed: Rivals                                      | Electronic Arts                        | Xbox 360 | 2013 | NTSC (JP)
|       | Need for Speed: Shift                                       | EA Games                               | Xbox 360 | 2009 | NTSC (JP)
|       | Need for Speed: The Run                                     | Electronic Arts                        | Xbox 360 | 2011 | NTSC (JP)
|       | NeverDead                                                   | Konami                                 | Xbox 360 | 2012 | NTSC (JP)
|       | NHL 2K10                                                    | Take-Two Interactive                   | Xbox 360 | 2009 | NTSC (JP)
|       | NHL 2K9                                                     | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
|       | NieR Gestalt                                                | Square Enix                            | Xbox 360 | 2010 | NTSC (JP)
|       | Nike+ Kinect Training                                       | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (JP)
|       | Ninety-Nine Nights                                          | Microsoft Game Studios                 | Xbox 360 | 2006 | NTSC (JP)
|       | Ninja Blade                                                 | From Software                          | Xbox 360 | 2009 | NTSC (JP)
|       | Ninja Gaiden 3                                              | Koei Tecmo Games                       | Xbox 360 | 2012 | NTSC (JP)
|       | Ninja Gaiden 3: Razor's Edge                                | Koei Tecmo Games                       | Xbox 360 | 2013 | NTSC (JP)
|       | Ninja Gaiden II                                             | Tecmo                                  | Xbox 360 | 2008 | NTSC (JP)
|       | No Fate! Only the Power of Will                             | Alchemist                              | Xbox 360 | 2010 | NTSC (JP)
|       | No More Heroes: Eiyuutachi no Rakuen                        | Marvelous Entertainment                | Xbox 360 | 2010 | NTSC (JP)
|       | Nobunaga no Yabou: Tendou                                   | Koei                                   | Xbox 360 | 2010 | NTSC (JP)
|       | Nurarihyon no Mago: Hyakki Ryouran Taisen                   | Konami                                 | Xbox 360 | 2011 | NTSC (JP)
|       | Onechanbara Z: Kagura                                       | D3Publisher                            | Xbox 360 | 2012 | NTSC (JP)
|       | Oneechanbara vorteX: Imichi o Tsugu Monotachi               | D3Publisher                            | Xbox 360 | 2006 | NTSC (JP)
|       | Operation Darkness                                          | Success                                | Xbox 360 | 2007 | NTSC (JP)
|       | Operation Flashpoint: Dragon Rising                         | Codemasters                            | Xbox 360 | 2010 | NTSC (JP)
|       | Operation Flashpoint: Red River                             | Codemasters                            | Xbox 360 | 2011 | NTSC (JP)
|       | Orange Box, The                                             | EA Games                               | Xbox 360 | 2008 | NTSC (JP)
|       | Ore no Yome: Anata Dake no Hanayome                         | Idea Factory                           | Xbox 360 | 2010 | NTSC (JP)
|       | Otomedius G                                                 | Konami                                 | Xbox 360 | 2008 | NTSC (JP)
|       | Otomedius X                                                 | Konami                                 | Xbox 360 | 2011 | NTSC (JP)
|       | Ougon Musou Kyoku X                                         | Alchemist                              | Xbox 360 | 2011 | NTSC (JP)
|       | Outfit, The                                                 | THQ                                    | Xbox 360 | 2006 | NTSC (JP)
|       | Over G                                                      | Taito Corporation                      | Xbox 360 | 2006 | NTSC (JP)
|       | Overlord: Maou Sama Fukkatsu no Toki                        | Codemasters                            | Xbox 360 | 2008 | NTSC (JP)
|       | Painkiller: Hell & Damnation                                | Intergrow                              | Xbox 360 | 2013 | NTSC (JP)
|       | Perfect Dark Zero                                           | Microsoft Game Studios                 | Xbox 360 | 2005 | NTSC (JP)
|       | Persona 4: The Ultimate in Mayonaka Arena                   | ATLUS                                  | Xbox 360 | 2012 | NTSC (JP)
|       | Peter Jackson's King Kong: The Official Game of the Movie   | Ubisoft                                | Xbox 360 | 2005 | NTSC (JP)
|       | Phantasy Star Universe                                      | Sega                                   | Xbox 360 | 2006 | NTSC (JP)
|       | Phantom Breaker                                             | 5pb                                    | Xbox 360 | 2011 | NTSC (JP)
|       | Phantom Breaker: Extra                                      | 5pb                                    | Xbox 360 | 2013 | NTSC (JP)
|       | Phantom: Phantom of Inferno                                 | Nitro+                                 | Xbox 360 | 2012 | NTSC (JP)
|       | Pia Carrot e Youkoso!! 4: Natsu no Koikatsu                 | GN Software                            | Xbox 360 | 2011 | NTSC (JP)
|       | Plants vs Zombies: Garden Warfare                           | Electronic Arts                        | Xbox 360 | 2014 | NTSC (JP)
|       | PopCap Arcade: Rakushisa, Ippai, Action & Puzzle 7 Pack     | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Port Royale 3: Pirates and Merchants                        | Russel                                 | Xbox 360 | 2012 | NTSC (JP)
|       | Portal 2                                                    | Electronic Arts                        | Xbox 360 | 2011 | NTSC (JP)
|       | Power Smash 4                                               | Sega                                   | Xbox 360 | 2011 | NTSC (JP)
|       | PowerUp Heroes                                              | Ubisoft                                | Xbox 360 | 2012 | NTSC (JP)
|       | Prey                                                        | Spike                                  | Xbox 360 | 2006 | NTSC (JP)
|       | Prince of Persia                                            | Ubisoft                                | Xbox 360 | 2008 | NTSC (JP)
|       | Prince of Persia: Boukyaku no Suna                          | Ubisoft                                | Xbox 360 | 2010 | NTSC (JP)
|       | Pro Yakyuu Spirits 3                                        | Konami                                 | Xbox 360 | 2006 | NTSC (JP)
|       | Project Gotham Racing 3                                     | Microsoft Game Studios                 | Xbox 360 | 2006 | NTSC (JP)
|       | Project Gotham Racing 4                                     | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Project Sylpheed                                            | Square Enix                            | Xbox 360 | 2006 | NTSC (JP)
|       | Psycho Break                                                | Bethesda Softworks                     | Xbox 360 | 2014 | NTSC (JP)
|       | Quantum Theory                                              | Tecmo                                  | Xbox 360 | 2010 | NTSC (JP)
|       | R.U.S.E.                                                    | Ubisoft                                | Xbox 360 | 2010 | NTSC (JP)
|       | Race Driver: GRID                                           | Codemasters                            | Xbox 360 | 2009 | NTSC (JP)
|       | Race Driver: GRID 2                                         | Codemasters                            | Xbox 360 | 2013 | NTSC (JP)
|       | Radirgy Noa Massive                                         | MileStone Inc.                         | Xbox 360 | 2010 | NTSC (JP)
|       | Rage                                                        | Bethesda Softworks                     | Xbox 360 | 2011 | NTSC (JP)
|       | Raiden Fighters Aces                                        | Success                                | Xbox 360 | 2008 | NTSC (JP)
|       | Raiden IV                                                   | Moss                                   | Xbox 360 | 2008 | NTSC (JP)
|       | Red Dead Redemption                                         | Rockstar Games                         | Xbox 360 | 2010 | NTSC (JP)
|       | Red Dead Redemption: Complete Edition                       | Rockstar Games                         | Xbox 360 | 2012 | NTSC (JP)
|       | Red Dead Redemption: Undead Nightmare                       | Rockstar Games                         | Xbox 360 | 2011 | NTSC (JP)
|       | Red Faction: Armageddon                                     | Spike                                  | Xbox 360 | 2011 | NTSC (JP)
|       | Red Faction: Guerrilla                                      | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
